,R2,Pearson_r,RMSE,MAE,n_imputed,n_scored,missingness_prop
sudoku,0.015052016917831803,0.17203184701583454,0.010841426151353134,0.0023107250487012228,5992.0,5992.0,0.4
factorization,-420.6399606262566,-0.007081966200692934,0.13318521009546927,0.10534488672028382,5992.0,5992.0,0.4
mice,-45.49703535827965,0.20408091328264646,0.04724560605412371,0.00257975394230566,5992.0,5992.0,0.4
knn,-0.031659279279469266,0.07168561650169226,0.011012432210176755,0.002876129337312865,5992.0,5992.0,0.4
median,-0.05137032360967133,,0.01108514042742882,0.002838077454887211,5992.0,5992.0,0.4
mean,-0.04435950337525794,,0.011047023040714714,0.002777945416709023,5992.0,5992.0,0.4
softimpute,-3411.2370431551485,0.14187208696391881,0.3414943417043865,0.1505668941991086,5992.0,5992.0,0.4
missforest,0.05648227618074742,0.19806317417032004,0.010365578396801309,0.0014338881396106647,5992.0,5992.0,0.4
sudoku,-15.471440937223386,0.08131406531372307,0.010523588506113561,0.0026250915928413034,7387.5,7387.5,0.5
mice,-36.83054795564774,0.16863601931232527,0.041523846481922554,0.002924735640194277,7387.5,7387.5,0.5
knn,-0.17247668223889553,-0.051337121373394044,0.011161817188972757,0.0034651031411288987,7387.5,7387.5,0.5
factorization,-744.4045663323462,-0.1027019047807088,0.15585027922496603,0.1341000252901521,7387.5,7387.5,0.5
mean,-0.07842966619140412,,0.01056376052964328,0.0029416656884090953,7387.5,7387.5,0.5
softimpute,-4120.411829278734,0.03770798810429024,0.32083526464392687,0.1668445924119721,7387.5,7387.5,0.5
missforest,-134.62234220213523,0.15268102902886052,0.011012744502226335,0.002555705702536839,7387.5,7387.5,0.5
median,-0.08245336681546465,,0.010567477418786567,0.0029412433645683053,7387.5,7387.5,0.5
sudoku,-2.0535466426102857,0.3548391963341729,0.006864494861107566,0.0017412593324875926,1498.0,1498.0,0.1
median,-0.060697623087109055,,0.0072880641618172995,0.002639094761957351,1498.0,1498.0,0.1
mice,-478.4748649029364,0.5803401029878137,0.18927032747278758,0.007141122108857479,1498.0,1498.0,0.1
factorization,-187.2264331592729,0.03127631829587376,0.08292771263633232,0.035691083558935764,1498.0,1498.0,0.1
softimpute,-2340.0156378323873,-0.03545459014516877,0.2934974577312065,0.13778532710088093,1498.0,1498.0,0.1
missforest,0.3795717662358992,0.7629193518582583,0.005274894916869028,0.0009246889507981455,1498.0,1498.0,0.1
knn,0.18557529756315969,0.6003966684239891,0.006486167543975192,0.0018301216899584696,1498.0,1498.0,0.1
mean,-0.061700959935106416,,0.007215213314372519,0.002559864800202935,1498.0,1498.0,0.1
sudoku,-2.3527961616353044,0.3587176037057291,0.007549690377056066,0.0018345740532525804,2996.0,2996.0,0.2
mean,-0.042258054193647865,,0.007923342834023616,0.002578406666043967,2996.0,2996.0,0.2
knn,0.04354880024239476,0.34748016693977507,0.007558355770774392,0.0024593535312601965,2996.0,2996.0,0.2
median,-0.051449549800435125,,0.007985633953308782,0.0026534643403642055,2996.0,2996.0,0.2
mice,-1652.676995768231,0.2349678353189962,0.18829766899915393,0.005066484133118348,2996.0,2996.0,0.2
factorization,-304.2556190647495,0.1417183194456461,0.08528373249303921,0.055398563611245955,2996.0,2996.0,0.2
softimpute,-3235.4973943817145,0.13413038595057494,0.2584064978619374,0.15206197478300149,2996.0,2996.0,0.2
missforest,-8.184958320192303,0.535493421811872,0.007359513551403486,0.001049051697610206,2996.0,2996.0,0.2
sudoku,-2.8048417712085367,0.28387414479578676,0.008254881976048274,0.0021035272611788663,4494.0,4494.0,0.3
knn,0.023890761593178534,0.26141381293287935,0.007876593478315522,0.0025320844684245847,4494.0,4494.0,0.3
factorization,-384.8013744542484,0.09432697670850683,0.10098427743590865,0.07851254393073596,4494.0,4494.0,0.3
mean,-0.0477377771708564,,0.008185096641005122,0.0026494388479832293,4494.0,4494.0,0.3
softimpute,-2795.845181842405,0.12611217637728886,0.24685256902360006,0.16661384421132153,4494.0,4494.0,0.3
missforest,-42.32016182855708,0.39116548291793346,0.007922299246194142,0.0011953294927337895,4494.0,4494.0,0.3
median,-0.048866547882025935,,0.008221564497843307,0.002705471343971167,4494.0,4494.0,0.3
mice,-1063.3204613032,0.026803958709894254,0.21654006000068035,0.004912264960346406,4494.0,4494.0,0.3
